name,sov_a3,latitude,longitude,pop_max,region
San Bernardino,USA,34.12038,-117.30003,1745000,West
Bridgeport,USA,41.17998,-73.19996,1018000,Northeast
Rochester,USA,43.17043,-77.61995,755000,Northeast
St. Paul,USA,44.94399,-93.08497,734854,Midwest
Billings,USA,45.7883,-108.54,104552,West
Great Falls,USA,47.50029,-111.29999,66558,West
Missoula,USA,46.87224,-113.99305,72856,West
Minot,USA,48.23249,-101.29582,39439,Midwest
Fargo,USA,46.87723,-96.78943,162842,Midwest
Hilo,USA,19.7,-155.09003,52391,West
Olympia,USA,47.03804,-122.89943,156984,West
Spokane,USA,47.67,-117.41995,347705,West
Vancouver,USA,45.6303,-122.63999,525802,West
Flagstaff,USA,35.1981,-111.65051,63993,West
Tucson,USA,32.205,-110.88999,823000,West
Santa Barbara,USA,34.43499,-119.71999,181632,West
Fresno,USA,36.74772,-119.77298,616353,West
Eureka,USA,40.80222,-124.1475,42398,West
Colorado Springs,USA,38.86296,-104.79199,493654,West
Reno,USA,39.52998,-119.82001,328585,West
Elko,USA,40.83251,-115.76199,19252,West
Albuquerque,USA,35.10497,-106.64133,898642,West
Salem,USA,44.92807,-123.0239,229010,West
Casper,USA,42.86662,-106.31249,60791,West
Topeka,USA,39.05001,-95.66998,132091,Midwest
Kansas City,USA,39.10709,-94.60409,1469000,Midwest
Tulsa,USA,36.12,-95.93002,946962,South
Sioux Falls,USA,43.54999,-96.73,155724,Midwest
Shreveport,USA,32.50002,-93.77002,248053,South
Baton Rouge,USA,30.45795,-91.14016,422072,South
Ft. Worth,USA,32.73998,-97.34004,1440454,South
Corpus Christi,USA,27.74281,-97.40189,277454,South
Austin,USA,30.26695,-97.74278,1161000,South
Amarillo,USA,35.22998,-101.83,181766,South
El Paso,USA,31.77998,-106.51,753000,South
Laredo,USA,27.50614,-99.50722,434768,South
Burlington,USA,44.4758,-73.21247,93807,Northeast
Montgomery,USA,32.3616,-86.27919,198325,South
Tallahassee,USA,30.44999,-84.28003,221222,South
Orlando,USA,28.50998,-81.38003,1350000,South
Jacksonville,USA,30.33002,-81.66999,988000,South
Savannah,USA,32.02111,-81.11,180187,South
Columbia,USA,34.03998,-80.89998,398093,South
Indianapolis,USA,39.74999,-86.17005,1436000,Midwest
Wilmington,USA,34.22552,-77.94502,161560,South
Knoxville,USA,35.97001,-83.92003,655400,South
Richmond,USA,37.55002,-77.44999,912000,South
Charleston,USA,38.34974,-81.63273,123799,South
Baltimore,USA,39.29999,-76.61998,2255000,South
Syracuse,USA,43.04999,-76.15001,662577,Northeast
Augusta,USA,44.31056,-69.77999,24042,Northeast
Sault Ste. Marie,USA,46.49526,-84.34528,83805,Midwest
Sitka,USA,57.0604,-135.32755,8931,West
Helena,USA,46.59275,-112.03529,38725,West
Bismarck,USA,46.80832,-100.78332,63871,Midwest
Boise,USA,43.60859,-116.22749,338071,West
San Jose,USA,37.29998,-121.84999,1668000,West
Sacramento,USA,38.57502,-121.47004,1604000,West
Las Vegas,USA,36.21,-115.22001,1823000,West
Santa Fe,USA,35.68693,-105.93724,92681,West
Portland,USA,45.52002,-122.67999,1875000,West
Salt Lake City,USA,40.77502,-111.93005,966000,West
Cheyenne,USA,41.14001,-104.81971,72927,West
Des Moines,USA,41.57998,-93.61998,380655,Midwest
Omaha,USA,41.24,-96.00999,877110,Midwest
Oklahoma City,USA,35.47004,-97.51868,788000,South
Pierre,USA,44.36834,-100.35055,13879,Midwest
San Antonio,USA,29.48733,-98.50731,1473000,South
Jackson,USA,32.29882,-90.185,250902,South
Raleigh,USA,35.81878,-78.64469,1163515,South
Cleveland,USA,41.46999,-81.695,1890000,Midwest
Cincinnati,USA,39.16188,-84.45692,1636000,Midwest
Nashville,USA,36.16997,-86.77998,877000,South
Memphis,USA,35.11999,-90,1081000,South
Norfolk,USA,36.84996,-76.28001,1047869,South
Milwaukee,USA,43.05266,-87.91997,1388000,Midwest
Buffalo,USA,42.87998,-78.88,1016000,Northeast
Pittsburgh,USA,40.43,-79.99999,1838000,Northeast
Kodiak,USA,57.79,-152.40699,9461,West
Cold Bay,USA,55.2,-162.71509,200,West
Bethel,USA,60.7933,-161.7558,6228,West
Barrow,USA,71.29057,-156.78858,4336,West
Nome,USA,64.5061,-165.40637,3485,West
Valdez,USA,61.136,-146.34829,4036,West
Juneau,USA,58.31413,-134.42,30711,West
Fairbanks,USA,64.83698,-147.71066,56993,West
Prudhoe Bay,USA,70.29218,-148.66936,2500,West
Minneapolis,USA,44.97998,-93.25179,2616000,Midwest
Honolulu,USA,21.30688,-157.858,786000,West
Seattle,USA,47.57,-122.33998,3074000,West
Phoenix,USA,33.53998,-112.06999,3551000,West
San Diego,USA,32.82002,-117.17999,2916000,West
St. Louis,USA,38.63502,-90.23998,2199000,Midwest
New Orleans,USA,29.995,-90.03997,785000,South
Dallas,USA,32.82002,-96.84002,4798000,South
Boston,USA,42.32996,-71.07001,4467000,Northeast
Tampa,USA,27.94699,-82.45862,2314000,South
Philadelphia,USA,39.99997,-75.17,5492000,Northeast
Detroit,USA,42.32996,-83.08006,4101000,Midwest
