country,latitude,longitude
AD,42.54625,1.60155
AE,23.42408,53.84782
AF,33.93911,67.70995
AG,17.06082,-61.79643
AI,18.22055,-63.06862
AL,41.15333,20.16833
AM,40.0691,45.03819
AN,12.22608,-69.06009
AO,-11.20269,17.87389
AQ,-75.25097,-0.07139
AR,-38.4161,-63.61667
AS,-14.27097,-170.13222
AT,47.51623,14.55007
AU,-25.2744,133.77514
AW,12.52111,-69.96834
AZ,40.14311,47.57693
BA,43.91589,17.67908
BB,13.19389,-59.5432
BD,23.68499,90.35633
BE,50.50389,4.46994
BF,12.23833,-1.56159
BG,42.73388,25.48583
BH,25.93041,50.63777
BI,-3.37306,29.91889
BJ,9.30769,2.31583
BM,32.32138,-64.75737
BN,4.53528,114.72767
BO,-16.29015,-63.58865
BR,-14.235,-51.92528
BS,25.03428,-77.39628
BT,27.51416,90.4336
BV,-54.4232,3.41319
BW,-22.32847,24.68487
BY,53.70981,27.95339
BZ,17.18988,-88.49765
CA,56.13037,-106.34677
CC,-12.16417,96.87096
CD,-4.03833,21.75866
CF,6.61111,20.93944
CG,-0.22802,15.82766
CH,46.81819,8.22751
CI,7.53999,-5.54708
CK,-21.23674,-159.77767
CL,-35.67515,-71.54297
CM,7.36972,12.35472
CN,35.86166,104.1954
CO,4.57087,-74.29733
CR,9.74892,-83.75343
CU,21.52176,-77.78117
CV,16.00208,-24.0132
CX,-10.44753,105.69045
CY,35.12641,33.42986
CZ,49.81749,15.47296
DE,51.16569,10.45153
DJ,11.82514,42.59028
DK,56.26392,9.50179
DM,15.415,-61.37098
DO,18.73569,-70.16265
DZ,28.03389,1.65963
EC,-1.83124,-78.18341
EE,58.59527,25.01361
EG,26.82055,30.8025
EH,24.21553,-12.88583
ER,15.17938,39.78233
ES,40.46367,-3.74922
ET,9.145,40.48967
FI,61.92411,25.74815
FJ,-16.57819,179.41441
FK,-51.79625,-59.52361
FM,7.42555,150.55081
FO,61.89264,-6.91181
FR,46.22764,2.21375
GA,-0.80369,11.60944
GB,55.37805,-3.43597
GD,12.26278,-61.60417
GE,42.31541,43.35689
GF,3.93389,-53.12578
