B2,B3,B4,B5,B6,B7,landcover
0.13984588,0.11473793,0.10998246,0.11954239,0.12579504,0.10571968,0
0.13031557,0.10920718,0.107499205,0.14021015,0.13200612,0.1084969,0
0.14669035,0.13576591,0.14654998,0.22568622,0.21810469,0.16711096,0
0.11941265,0.10892385,0.10519602,0.14486773,0.15977494,0.12205569,0
0.155492,0.13993192,0.13748577,0.15137663,0.15377143,0.13313362,0
0.15047766,0.13790002,0.14169148,0.16755058,0.16852617,0.13853571,0
0.13568515,0.11677726,0.11131732,0.20228417,0.15892139,0.1173979,0
0.14740011,0.123491496,0.12203384,0.16871132,0.15052342,0.120289505,0
0.12613285,0.10490363,0.09725605,0.18700053,0.13083693,0.092430994,0
0.14786217,0.13838327,0.13657272,0.16886266,0.181438,0.15149964,0
0.16340797,0.13273072,0.13053106,0.1519274,0.114315845,0.08463922,0
0.25516182,0.25894007,0.27591637,0.30949044,0.29829904,0.20060661,0
0.19833629,0.18672568,0.19660279,0.20347828,0.21524258,0.18714087,0
0.13825631,0.11414997,0.107706234,0.16489768,0.1299876,0.10294459,0
0.22042519,0.22383314,0.2360186,0.24113044,0.26212028,0.26375446,0
0.20403482,0.1971928,0.20068912,0.21312965,0.24563572,0.22827408,0
0.2652117,0.263033,0.2671724,0.27120098,0.3030605,0.31936756,0
0.20232281,0.1862197,0.18380116,0.18369369,0.1686701,0.15151471,0
0.23748752,0.23483913,0.24138048,0.24097858,0.21900399,0.18218592,0
0.2540374,0.23679572,0.23706816,0.26863998,0.32522622,0.28124025,0
0.47981584,0.5133925,0.5606555,0.626498,0.5053721,0.2564585,0
0.1836192,0.1750794,0.17832965,0.19504108,0.19360685,0.15142173,0
0.19501102,0.18467222,0.18860978,0.21679558,0.18619615,0.14905293,0
0.21399702,0.20881808,0.2165537,0.23906541,0.22436643,0.17736465,0
0.18792552,0.17376211,0.17556338,0.18545833,0.17580354,0.14249213,0
0.11850264,0.10894271,0.12046661,0.233592,0.20612295,0.14626715,0
0.12997115,0.10192089,0.090548515,0.112924054,0.11427328,0.10153777,0
0.159192,0.14820257,0.1511155,0.17702197,0.2199566,0.1919392,0
0.15533619,0.14673162,0.15501833,0.19331884,0.25097725,0.22705036,0
0.15592647,0.14675686,0.16155936,0.21758626,0.1658293,0.12636462,0
0.15980971,0.14983508,0.14857021,0.17276278,0.1622347,0.13512142,0
0.12524793,0.095655136,0.086079754,0.09931295,0.09399548,0.07791294,0
0.1075358,0.0944128,0.1005985,0.17595549,0.20320082,0.14054799,1
0.11501507,0.1057453,0.123383686,0.24596655,0.28042722,0.17893119,1
0.09526934,0.071472526,0.052317306,0.14209819,0.117311455,0.0662795,1
0.10164438,0.081545345,0.07488481,0.17173392,0.19128986,0.1152192,1
0.1001744,0.080946654,0.06718785,0.18000396,0.16342129,0.098605216,1
0.09732742,0.077399194,0.058095183,0.26475838,0.13912311,0.06312528,1
0.11078325,0.09588933,0.093270905,0.21606591,0.21920389,0.14637512,1
0.09958777,0.07675569,0.066486254,0.15985608,0.157959,0.09102514,1
0.10865913,0.08997947,0.080742255,0.23210557,0.21356033,0.12379778,1
0.11205382,0.09950192,0.09836231,0.25146452,0.2485093,0.15734209,1
0.104410514,0.084877335,0.0727076,0.20861158,0.19750804,0.115032144,1
0.10147716,0.085243724,0.07118602,0.19986641,0.196133,0.11340747,1
0.10236999,0.08462696,0.07735843,0.20199756,0.18917198,0.111911505,1
0.1055003,0.08690834,0.068495944,0.26015747,0.18471429,0.09766972,1
0.100098185,0.07767058,0.05869736,0.24682894,0.17537846,0.091442145,1
0.09310837,0.074701756,0.050166167,0.18321401,0.12958157,0.065073326,1
0.09561815,0.078326486,0.05319046,0.19968703,0.13585934,0.06754283,1
0.09970835,0.076465085,0.05664047,0.21307163,0.1511574,0.081379324,1
0.09493439,0.07204377,0.050891347,0.2010494,0.12936077,0.06415108,1
0.09860061,0.07910861,0.05981905,0.24612801,0.16461065,0.08326371,1
0.097604014,0.0754986,0.05445075,0.20649777,0.12698776,0.063575074,1
0.08685968,0.05939191,0.03972391,0.1943178,0.064256266,0.026391005,1
0.087145604,0.06216181,0.039846584,0.25202858,0.07767429,0.029221874,1
0.0923099,0.06956286,0.051669803,0.19113714,0.12673399,0.066560455,1
0.10502753,0.099738866,0.09713739,0.28879416,0.2146512,0.123637535,1
0.09858936,0.070858896,0.058752228,0.2424118,0.11044935,0.051743645,1
0.091153264,0.07406055,0.05599413,0.24431515,0.14846249,0.0753818,1
0.0864827,0.06935867,0.043324698,0.25851768,0.10855403,0.043998916,1
0.103418544,0.09201433,0.099960424,0.23748752,0.21614516,0.1304724,1
0.10054169,0.08937372,0.08810414,0.28232902,0.20969486,0.114201516,1
0.1141307,0.105101414,0.1276351,0.2953488,0.29558745,0.1882916,1
0.12167965,0.12404797,0.16211438,0.31410056,0.3105606,0.18924236,1
0.1170139,0.09053751,0.05504899,0.019957421,0.007670424,0.005686692,2
0.1175558,0.08775139,0.057660464,0.019327698,0.006527315,0.005400919,2
0.115460455,0.08795764,0.057659637,0.019379783,0.009213337,0.007480419,2
0.113219045,0.08750264,0.053287476,0.019897321,0.008219183,0.006292607,2
0.11835373,0.088102475,0.051986102,0.02242939,0.00917806,0.007353027,2
0.11354575,0.081790514,0.047867678,0.017589083,0.006295037,0.004734501,2
0.115063064,0.08617827,0.049844462,0.017351035,0.005845391,0.004522903,2
0.11798932,0.08872681,0.05718434,0.020162478,0.008462406,0.006380526,2
0.1117033,0.0818916,0.04835015,0.020454159,0.009045811,0.006480185,2
0.11359601,0.083502844,0.05237658,0.022470709,0.010183152,0.006820789,2
0.11708944,0.08454162,0.048442,0.027299777,0.017314972,0.011714565,2
0.11076954,0.081105165,0.04917069,0.022082705,0.009309812,0.006521363,2
0.10621741,0.07212672,0.042704947,0.019370895,0.009129912,0.006116588,2
0.10595918,0.07529983,0.042081725,0.018757178,0.007949582,0.005716012,2
0.111998454,0.079745844,0.046987496,0.024153922,0.013131687,0.009973605,2
0.11022211,0.07512636,0.046527553,0.02131203,0.010716671,0.009705664,2
0.10763065,0.07582335,0.046845615,0.025590753,0.012734776,0.009418427,2
0.11314195,0.08294034,0.05149634,0.02909302,0.017682282,0.011673645,2
0.108817704,0.075156316,0.04254155,0.020314787,0.009882262,0.006948978,2
0.1054534,0.07327696,0.042300545,0.019309565,0.008766156,0.005764046,2
0.11145041,0.07884762,0.04824182,0.025679583,0.01507833,0.010744967,2
0.103005804,0.073843144,0.043351993,0.020058831,0.009102392,0.006820789,2
0.11566879,0.083356865,0.05053203,0.0206871,0.009697721,0.007061924,2
0.1159301,0.08772062,0.053464666,0.019934004,0.008790173,0.006484552,2
0.12033888,0.09019699,0.05521317,0.022103261,0.010310751,0.007383893,2
0.11416726,0.08494644,0.052014872,0.019467484,0.008458927,0.006150998,2
0.12246947,0.09648892,0.06875546,0.024257042,0.007794975,0.005347364,2
0.119552955,0.09095023,0.0620216,0.019228969,0.008670088,0.005768934,2
0.117424965,0.08950159,0.05650632,0.0186002,0.006173759,0.004272601,2
0.11733057,0.09217551,0.06254767,0.020361599,0.005812638,0.004046808,2
0.11835253,0.09378466,0.060253046,0.020083116,0.007316853,0.004718965,2
0.12336165,0.09583075,0.06966326,0.02731966,0.011386128,0.008357195,2
0.122907296,0.10008322,0.07952655,0.024563568,0.008569717,0.006321487,2
0.119944856,0.097548336,0.06697424,0.021061774,0.006597748,0.004311305,2
