name	description	function	returns	argument	type	details
ee.Algorithms.CannyEdgeDetector	Applies the Canny edge detection algorithm to an image. The output is an image whose bands have the same names as the input bands, and in which non-zero values indicate edges, and the magnitude of the value is the gradient magnitude.	ee.Algorithms.CannyEdgeDetector(image, threshold, sigma)	Image	image|threshold|sigma	Image|Float|Float, default: 1	The image on which to apply edge detection.|Threshold value. The pixel is only considered for edge detection if the gradient magnitude is higher than this threshold.|Sigma value for a gaussian filter applied before edge detection. 0 means apply no filtering.
ee.Algorithms.Collection	Returns a Collection containing the specified features.	ee.Algorithms.Collection(features)	FeatureCollection	features	List	The features comprising the collection.
ee.Algorithms.CrossCorrelation	Gives information on the quality of image registration between two (theoretically) co-registered images. The input is two images with the same number of bands. This function outputs an image composed of four bands of information. The first three are distances: the deltaX, deltaY, and the Euclidean distance for each pixel in imageA to the pixel which has the highest corresponding correlation coefficient in imageB. The fourth band is the value of the correlation coefficient for that pixel [-1 : +1].	ee.Algorithms.CrossCorrelation(imageA, imageB, maxGap, windowSize, maxMaskedFrac)	Image	imageA|imageB|maxGap|windowSize|maxMaskedFrac	Image|Image|Integer|Integer|Float, default: 0	First image, with N bands.|Second image, must have the same number of bands as imageA.|The greatest distance a pixel may shift in either X or Y.|Size of the window to be compared.|The maximum fraction of pixels within the correlation window that are allowed to be masked. This test is applied at each offset location within the search region. For each offset, the overlapping image patches are compared and a correlation score computed. A pixel within these overlapping patches is considered masked if either of the patches is masked there. If the test fails at any single location in the search region, the output pixel for which the correlation is being computed is considered invalid, and will be masked.
ee.Algorithms.Date	Creates a Date.	ee.Algorithms.Date(value, timeZone)	Date	value|timeZone	Object|String, default: null	A number (interpreted as milliseconds since 1970-01-01T00:00:00Z), or string such as '1996-01-01' or '1996-001' or '1996-01-01T08:00'.|The time zone (e.g. 'America/Los_Angeles'); defaults to UTC.
ee.Algorithms.Describe	Describes an object using a simple JSON-compatible structure.	ee.Algorithms.Describe(input)	Object	input	Object	The object to describe.
ee.Algorithms.Dictionary	Constructs a dictionary.	ee.Algorithms.Dictionary(input)	Dictionary	input	Object, default: null	An object to convert to a dictionary.  Either a JSON dictionary or a list of alternating key/value pairs.  Keys must be strings.
ee.Algorithms.FMask.fillMinima	Fills local minima.  Only works on INT types.	ee.Algorithms.FMask.fillMinima(image, borderValue, neighborhood)	Image	image|borderValue|neighborhood	Image|Long, default: null|Integer, default: 50	The image to fill.|The border value.|The size of the neighborhood to compute over.
ee.Algorithms.FMask.matchClouds	Runs the FMask cloud and shadow matching.  Outputs a single band ('csm'), containing the computed cloud and shadow masks.	ee.Algorithms.FMask.matchClouds(input, cloud, shadow, btemp, sceneLow, sceneHigh, neighborhood)	Image	input|cloud|shadow|btemp|sceneLow|sceneHigh|neighborhood	Image|Image|Image|Image|Float|Float|Integer, default: 50	The scene for which to compute cloud and shadow masks.|Potential cloud mask image. Expected to contain 1s for cloudy pixels and masked pixels everywhere else.|Potential shadow mask image. Expected to contain 1s for shadow pixels and masked pixels everywhere else.|Brightness temperature image, in Celsius.|The 0.175 percentile brightness temperature of the scene.|The 0.825 percentile brightness temperature of the scene.|The neighborhood to pad around each tile.
ee.Algorithms.Feature	Returns a Feature composed of the given geometry and metadata.	ee.Algorithms.Feature(geometry, metadata, geometryKey)	Feature	geometry|metadata|geometryKey	Geometry, default: null|Dictionary, default: {}|String, default: null	The geometry of the feature.|The properties of the feature.|Obsolete; has no effect.
ee.Algorithms.GeometryConstructors.LineString	Constructs a LineString from the given coordinates.	ee.Algorithms.GeometryConstructors.LineString(coordinates, crs, geodesic)	Geometry	coordinates|crs|geodesic	List|Projection, default: null|Boolean, default: null	The list of Points or pairs of Numbers in x,y order.|The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.|If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.
ee.Algorithms.GeometryConstructors.LinearRing	Constructs a LinearRing from the given coordinates, automatically adding the first point at the end if the ring is not explicitly closed.	ee.Algorithms.GeometryConstructors.LinearRing(coordinates, crs, geodesic)	Geometry	coordinates|crs|geodesic	List|Projection, default: null|Boolean, default: null	The list of Points or pairs of Numbers in x,y order.|The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.|If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.
ee.Algorithms.GeometryConstructors.MultiGeometry	Constructs a MultiGeometry from the given list of geometry elements.	ee.Algorithms.GeometryConstructors.MultiGeometry(geometries, crs, geodesic, maxError)	Geometry	geometries|crs|geodesic|maxError	List|Projection, default: null|Boolean, default: null|ErrorMargin, default: null	The list of geometries for the MultiGeometry.|The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.|If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.|Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.
ee.Algorithms.GeometryConstructors.MultiLineString	Constructs a MultiLineString from the given coordinates.	ee.Algorithms.GeometryConstructors.MultiLineString(coordinates, crs, geodesic, maxError)	Geometry	coordinates|crs|geodesic|maxError	List|Projection, default: null|Boolean, default: null|ErrorMargin, default: null	The list of LineStrings, or to wrap a single LineString, the list of Points or pairs of Numbers in x,y order.|The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.|If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.|Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.
ee.Algorithms.GeometryConstructors.MultiPoint	Constructs a MultiPoint from the given coordinates.	ee.Algorithms.GeometryConstructors.MultiPoint(coordinates, crs)	Geometry	coordinates|crs	List|Projection, default: null	The list of Points or pairs of Numbers in x,y order.|The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.
ee.Algorithms.GeometryConstructors.MultiPolygon	Constructs a MultiPolygon from the given coordinates.	ee.Algorithms.GeometryConstructors.MultiPolygon(coordinates, crs, geodesic, maxError, evenOdd)	Geometry	coordinates|crs|geodesic|maxError|evenOdd	List|Projection, default: null|Boolean, default: null|ErrorMargin, default: null|Boolean, default: true	A list of Polygons, or for one simple polygon, a list of Points or pairs of Numbers in x,y order.|The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.|If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.|Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.|If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.
ee.Algorithms.GeometryConstructors.Point	Constructs a new Point from the given x,y coordinates.	ee.Algorithms.GeometryConstructors.Point(coordinates, crs)	Geometry	coordinates|crs	List|Projection, default: null	The coordinates of this Point in x,y order.|The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.
ee.Algorithms.GeometryConstructors.Polygon	Constructs a Polygon from the given coordinates.	ee.Algorithms.GeometryConstructors.Polygon(coordinates, crs, geodesic, maxError, evenOdd)	Geometry	coordinates|crs|geodesic|maxError|evenOdd	List|Projection, default: null|Boolean, default: null|ErrorMargin, default: null|Boolean, default: true	A list of LinearRings where the first is the shell and the rest are holes, or for a simple polygon, a list of Points or pairs of Numbers in x,y order.|The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.|If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.|Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.|If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.
ee.Algorithms.GeometryConstructors.Rectangle	Constructs a rectangular polygon from the given corner points.	ee.Algorithms.GeometryConstructors.Rectangle(coordinates, crs, geodesic, evenOdd)	Geometry	coordinates|crs|geodesic|evenOdd	List|Projection, default: null|Boolean, default: null|Boolean, default: true	The low and then high corners of the Rectangle, as a list of Points or pairs of Numbers in x,y order.|The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.|If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.|If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.
ee.Algorithms.HillShadow	Creates a shadow band, with output 1 where pixels are illumunated and 0 where they are shadowed. Takes as input an elevation band, azimuth and zenith of the light source in degrees, a neighborhood size, and whether or not to apply hysteresis when a shadow appears. Currently, this algorithm only works for Mercator projections, in which light rays are parallel.	ee.Algorithms.HillShadow(image, azimuth, zenith, neighborhoodSize, hysteresis)	Image	image|azimuth|zenith|neighborhoodSize|hysteresis	Image|Float|Float|Integer, default: 0|Boolean, default: false	The image to which to apply the shadow algorithm, in whicheach pixel should represent an elevation in meters.|Azimuth in degrees.|Zenith in degrees.|Neighborhood size.|Use hysteresis. Less physically accurate, but may generate better images.
ee.Algorithms.HoughTransform	Applies the Hough transform to an image. For every input band, outputs a band where lines are detected by thresholding the Hough transform with a value of lineThreshold. The output band is named [input]_lines, where [input] is the name of the original band. The defaults provided for the parameters are intended as a starting point for use with UINT8 images.	ee.Algorithms.HoughTransform(image, gridSize, inputThreshold, lineThreshold, smooth)	Image	image|gridSize|inputThreshold|lineThreshold|smooth	Image|Integer, default: 256|Float, default: 64|Float, default: 72|Boolean, default: true	The image to which to apply the transform.|Grid size.|Value threshold for input image. Pixels equal to or above this value are considered active.|Threshold for line detection. Values equal to or above this threshold on the Hough transform are considered to be detected lines.|Whether to smooth the Hough transform before line detection.
ee.Algorithms.If	Selects one of its inputs based on a condition, similar to an if-then-else construct.	ee.Algorithms.If(condition, trueCase, falseCase)	Object	condition|trueCase|falseCase	Object, default: null|Object, default: null|Object, default: null	The condition that determines which result is returned. If this is not a boolean, it is interpreted as a boolean by the following rules:|  - Numbers that are equal to 0 or a NaN are false.|  - Empty strings, lists and dictionaries are false.|  - Null is false.|  - Everything else is true.|The result to return if the condition is true.|The result to return if the condition is false.
ee.Algorithms.Image.Segmentation.GMeans	Performs G-Means clustering on the input image. Iteratively applies k-means followed by a normality test to automatically determine the number of clusters to use. The output contains a 'clusters' band containing the integer ID of the cluster that each pixel belongs to. The algorithm can work either on a fixed grid of non-overlapping cells (gridSize, which can be smaller than a tile) or on tiles with overlap (neighborhoodSize). The default is to use tiles with no overlap. Clusters in one cell or tile are unrelated to clusters in another. Any cluster that spans a cell or tile boundary may receive two different labels in the two halves. Any input pixels with partial masks are fully masked in the output. This algorithm is only expected to perform well for images with a narrow dynamic range (i.e. bytes or shorts).	ee.Algorithms.Image.Segmentation.GMeans(image, numIterations, pValue, neighborhoodSize, gridSize, uniqueLabels)	Image	image|numIterations|pValue|neighborhoodSize|gridSize|uniqueLabels	Image|Integer, default: 10|Float, default: 50|Integer, default: 0|Integer, default: null|Boolean, default: true	The input image for clustering.|Number of iterations. Default 10.|Significance level for normality test.|Neighborhood size.  The amount to extend each tile (overlap) when computing the clusters. This option is mutually exclusive with gridSize.|Grid cell-size.  If greater than 0, kMeans will be run independently on cells of this size. This has the effect of limiting the size of any cluster to be gridSize or smaller.  This option is mutually exclusive with neighborhoodSize.|If true, clusters are assigned unique IDs. Otherwise, they repeat per tile or grid cell.
ee.Algorithms.Image.Segmentation.KMeans	Performs K-Means clustering on the input image. Outputs a 1-band image  containing the ID of the cluster that each pixel belongs to.  The algorithm can work either on a fixed grid of non-overlapping cells (gridSize, which can be smaller than a tile) or on tiles with overlap (neighborhoodSize). The default is to use tiles with no overlap.  Clusters in one cell or tile are unrelated to clusters in another.  Any cluster that spans a cell or tile boundary may receive two different labels in the two halves.  Any input pixels with partial masks are fully masked in the output.	ee.Algorithms.Image.Segmentation.KMeans(image, numClusters, numIterations, neighborhoodSize, gridSize, forceConvergence, uniqueLabels)	Image	image|numClusters|numIterations|neighborhoodSize|gridSize|forceConvergence|uniqueLabels	Image|Integer, default: 8|Integer, default: 20|Integer, default: 0|Integer, default: null|Boolean, default: false|Boolean, default: true	The input image for clustering.|Number of clusters.|Number of iterations.|Neighborhood size.  The amount to extend each tile (overlap) when computing the clusters. This option is mutually exclusive with gridSize.|Grid cell-size.  If greater than 0, kMeans will be run independently on cells of this size. This has the effect of limiting the size of any cluster to be gridSize or smaller.  This option is mutually exclusive with neighborhoodSize.|If true, an error is thrown if convergence is not achieved before numIterations.|If true, clusters are assigned unique IDs. Otherwise, they repeat per tile or grid cell.
ee.Algorithms.Image.Segmentation.SNIC	Superpixel clustering based on SNIC (Simple Non-Iterative Clustering). Outputs a band of cluster IDs and the per-cluster averages for each of the input bands. If the 'seeds' image isn't provided as input, the output will include a 'seeds' band containing the generated seed locations. See: Achanta, Radhakrishna and Susstrunk, Sabine, 'Superpixels and Polygons using Simple Non-Iterative Clustering', CVPR, 2017.	ee.Algorithms.Image.Segmentation.SNIC(image, size, compactness, connectivity, neighborhoodSize, seeds)	Image	image|size|compactness|connectivity|neighborhoodSize|seeds	Image|Integer, default: 5|Float, default: 1|Integer, default: 8|Integer, default: null|Image, default: null	The input image for clustering.|The superpixel seed location spacing, in pixels. If 'seeds' image is provided, no grid is produced.|Compactness factor. Larger values cause clusters to be more compact (square). Setting this to 0 disables spatial distance weighting.|Connectivity.  Either 4 or 8.|Tile neighborhood size (to avoid tile boundary artifacts). Defaults to 2 * size.|If provided, any non-zero valued pixels are used as seed locations. Pixels that touch (as specified by 'connectivity') are considered to belong to the same cluster.
ee.Algorithms.Image.Segmentation.seedGrid	Selects seed pixels for clustering.	ee.Algorithms.Image.Segmentation.seedGrid(size, gridType)	Image	size|gridType	"Integer, default: 5|String, default: ""square"""	The superpixel seed location spacing, in pixels.|Type of grid. One of 'square' or 'hex'.
ee.Algorithms.IsEqual	Returns whether two objects are equal.	ee.Algorithms.IsEqual(left, right)	Boolean	left|right	Object, default: null|Object, default: null	|
ee.Algorithms.Landsat.TOA	Calibrates Landsat DN to TOA reflectance and brightness temperature for Landsat and similar data. For recently-acquired scenes calibration coefficients are extracted from the image metadata; for older scenes the coefficients are derived from:	ee.Algorithms.Landsat.TOA(input)	Image	input	Image	The Landsat image to process.
ee.Algorithms.Landsat.calibratedRadiance	Calibrates each band of an image by applying linear transformation with slope RADIANCE_MULT_BAND_N and y-intercept RADIANCE_ADD_BAND_N; these values are extracted from the image metadata.	ee.Algorithms.Landsat.calibratedRadiance(image)	Image	image	Image	The input Landsat image.
ee.Algorithms.Landsat.pathRowLimit	Limits requests to an ImageCollection of Landsat scenes to return a controllable number of the best scenes for each request. This is intended for use with statistical algorithms like median composites that need a certain amount of good data to perform well, but that do not benefit substantially from additional data beyond that while becoming needlessly expensive.  The default arguments select approximately one year's worth of good data.	ee.Algorithms.Landsat.pathRowLimit(collection, maxScenesPerPathRow, maxScenesTotal)	ImageCollection	collection|maxScenesPerPathRow|maxScenesTotal	ImageCollection|Integer, default: 25|Integer, default: 100	The Landsat ImageCollection to limit.|The max number of scenes to return per path/row.|The max number of scenes to return per request total.
