id,provider,title,start_date,end_date,startyear,endyear,type,tags,asset_url,thumbnail_url
AAFC/ACI,Agriculture and Agri-Food Canada,Canada AAFC Annual Crop Inventory,2009-01-01,2023-01-01,2009,2023,image_collection,"aafc, agriculture, canada, crop, landcover",https://developers.google.com/earth-engine/datasets/catalog/AAFC_ACI,https://developers.google.com/earth-engine/datasets/images/AAFC/AAFC_ACI_sample.png
ACA/reef_habitat/v2_0,Allen Coral Atlas Partnership (ACA),Allen Coral Atlas (ACA) - Geomorphic Zonation and Benthic Habitat - v2.0,2018-01-01,2021-01-01,2018,2021,image,"coral, ocean, oceans, planet-derived, reef, seagrass, sentinel2-derived",https://developers.google.com/earth-engine/datasets/catalog/ACA_reef_habitat_v2_0,https://developers.google.com/earth-engine/datasets/images/ACA/ACA_reef_habitat_v2_0_sample.png
AHN/AHN2_05M_INT,AHN,"AHN Netherlands 0.5m DEM, Interpolated",2012-01-01,2012-01-01,2012,2012,image,"ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands",https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN2_05M_INT,https://developers.google.com/earth-engine/datasets/images/AHN/AHN_AHN2_05M_INT_sample.png
AHN/AHN2_05M_NON,AHN,"AHN Netherlands 0.5m DEM, Non-Interpolated",2012-01-01,2012-01-01,2012,2012,image,"ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands",https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN2_05M_NON,https://developers.google.com/earth-engine/datasets/images/AHN/AHN_AHN2_05M_NON_sample.png
AHN/AHN2_05M_RUW,AHN,"AHN Netherlands 0.5m DEM, Raw Samples",2012-01-01,2012-01-01,2012,2012,image,"ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands",https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN2_05M_RUW,https://developers.google.com/earth-engine/datasets/images/AHN/AHN_AHN2_05M_RUW_sample.png
AHN/AHN3,AHN,AHN3: Netherlands AHN 0.5m,2014-01-01,2019-01-01,2014,2019,image_collection,"ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands",https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN3,https://developers.google.com/earth-engine/datasets/images/AHN/AHN_AHN3_sample.png
AHN/AHN4,AHN,AHN4: Netherlands AHN 0.5m,2020-01-01,2022-01-01,2020,2022,image_collection,"ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands",https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN4,https://developers.google.com/earth-engine/datasets/images/AHN/AHN_AHN4_sample.png
ASTER/AST_L1T_003,NASA LP DAAC at the USGS EROS Center,ASTER L1T Radiance,2000-03-04,2025-12-08,2000,2025,image_collection,"aster, eos, imagery, nasa, nir, radiance, satellite-imagery, swir, terra, thermal, tir, toa, usgs, vnir",https://developers.google.com/earth-engine/datasets/catalog/ASTER_AST_L1T_003,https://developers.google.com/earth-engine/datasets/images/ASTER/ASTER_AST_L1T_003_sample.png
AU/GA/AUSTRALIA_5M_DEM,Geoscience Australia,Australian 5M DEM,2015-12-01,2015-12-01,2015,2015,image_collection,"australia, dem, elevation, elevation-topography, ga, geophysical, geoscience-australia, lidar",https://developers.google.com/earth-engine/datasets/catalog/AU_GA_AUSTRALIA_5M_DEM,https://developers.google.com/earth-engine/datasets/images/AU/AU_GA_AUSTRALIA_5M_DEM_sample.png
AU/GA/DEM_1SEC/v10/DEM-H,Geoscience Australia,DEM-H: Australian SRTM Hydrologically Enforced Digital Elevation Model,2010-02-01,2010-02-01,2010,2010,image,"australia, dem, elevation, elevation-topography, ga, geophysical, geoscience-australia, smoothed, srtm",https://developers.google.com/earth-engine/datasets/catalog/AU_GA_DEM_1SEC_v10_DEM-H,https://developers.google.com/earth-engine/datasets/images/AU/AU_GA_DEM_1SEC_v10_DEM-H_sample.png
